item_id,popular_destination,city,state,latitude,longitude,synthetic_review,similarity_score,mode
202,Jampore beach,Diu,Daman and Diu,20.375971,72.825722,Jampore beach is a highly recommended beach destination with an excellent overall experience.,0.42955806951646236,preference_based
957,Dr. Salim Ali Bird Santuary,Goa,Goa,15.513,73.8704,Dr. Salim Ali Bird Santuary is an average wildlife destination that could benefit from better facilities.,0.39813109319252893,preference_based
1001,Kingdom of Dreams,Gurugram,Haryana,28.4678664,77.0688866,Kingdom of Dreams is an average urban destination that could benefit from better facilities.,0.3955792301269807,preference_based
979,Kufri Fun World,Shimla,Himachal Pradesh,31.0941261,77.278049,Kufri Fun World is an average urban destination that could benefit from better facilities.,0.39447533340132884,preference_based
941,Adlabs Imagica,Lonavala,Maharastra,18.7679396,73.2823206,Adlabs Imagica is a popular urban place offering a pleasant and enjoyable visit.,0.38797852602524574,preference_based
1010,Chacha Nehru Gyan Pushp museum,Aligarh,Uttar Pradesh,27.9112617,78.0673061,Chacha Nehru Gyan Pushp museum is an average urban destination that could benefit from better facilities.,0.3866226004964452,preference_based
939,Diu museum,Diu,Daman and Diu,20.7155688,70.9891437,Diu museum is a popular urban place offering a pleasant and enjoyable visit.,0.38640325483136756,preference_based
940,Kaliadeh Palace,Ujjain,Madhya Pradesh,23.2490716,75.7779662,Kaliadeh Palace is a popular urban place offering a pleasant and enjoyable visit.,0.3863730362026175,preference_based
1012,Burirdabri Forest camp,Sundarbans,West Bengal,22.077495,89.0293676,Burirdabri Forest camp is an average urban destination that could benefit from better facilities.,0.37925106807845843,preference_based
0,Doling Gompa,Ravangla,Sikkim,27.3516407,88.3239309,Doling Gompa  is a highly recommended religious destination with an excellent overall experience.,0.3771394476500608,preference_based
621,Chapora Fort,Goa,Goa,15.5733497,73.7409781,Chapora Fort is a popular urban place offering a pleasant and enjoyable visit.,0.985545243113131,similar_to_place
695,Fontainhas colony,Panjim,Goa,15.5179749,73.7626122,Fontainhas colony is a popular urban place offering a pleasant and enjoyable visit.,0.9855350310389769,similar_to_place
697,Fort Aguada,Goa,Goa,15.5008238,73.9114061,Fort Aguada is a popular urban place offering a pleasant and enjoyable visit.,0.9855344975825977,similar_to_place
91,Rumi ka Mazaar,Ujjain,Madhya Pradesh,23.1793,75.784912,Rumi ka Mazaar is a highly recommended urban destination with an excellent overall experience.,0.8333408364017592,similar_to_place
156,Sitabinji Fresco painting and rock inscription,Keonjhar,Odisha,21.5024021,85.8221225,Sitabinji Fresco painting and rock inscription is a highly recommended urban destination with an excellent overall experience.,0.8330247200441676,similar_to_place
157,State museum Hotwar,Ranchi,Jharkhand,23.3835366,85.3854678,State museum Hotwar is a highly recommended urban destination with an excellent overall experience.,0.8330245045547753,similar_to_place
251,Pemayangtse Monastery,Pelling,Sikkim,27.303354,88.253716,Pemayangtse Monastery is a highly recommended urban destination with an excellent overall experience.,0.8326449939172678,similar_to_place
255,Jallianwala Bagh,Amritsar,Punjab,31.6199803,74.8764849,Jallianwala Bagh is a highly recommended urban destination with an excellent overall experience.,0.8326446716422146,similar_to_place
256,Kargil War Memorial,Kargil,Ladakh,34.4340036,75.8076814,Kargil War Memorial is a highly recommended urban destination with an excellent overall experience.,0.8326446569454444,similar_to_place
302,Mahabalipuram,Chennai,Tamil Nadu,12.6207821,80.2824026,Mahabalipuram is a highly recommended urban destination with an excellent overall experience.,0.8326381325729133,similar_to_place
